,Rank,NCTId,BriefTitle,Condition,StudyType,EligibilityCriteria,EnrollmentCount,LocationCity,LocationCountry,LocationState,LocationZip,MinimumAge,MaximumAge,OverallStatus,Phase,ResponsiblePartyInvestigatorFullName,ResponsiblePartyInvestigatorAffiliation,LeadSponsorName,InterventionName,StartDate,CentralContactName
33,34,NCT01840293,Breast Cancer Proteomics and Molecular Heterogeneity,Primary Breast Cancer,Observational,"Inclusion Criteria:

Patients diagnosed with primary breast cancer attending hospital for the resection of their tumour tissue

Or

-Patients with suspected or confirmed recurrent or metastatic breast cancer (Patient has a history of a biopsy- or surgically- (i.e. pathologically) confirmed primary breast cancer) attending hospital for the resection/biopsy and/or treatment of tumour tissue

Or

-Patient with suspected (but not necessarily biopsy confirmed) newly diagnosed stage 4 breast cancer attending hospital for the resection/biopsy and/or treatment of their tumour tissue

Patients receiving neoadjuvant treatment are also eligible (if applicable)
Patients have to be ≥ 18 years of age
Patients must be able to give informed consent",1780,Dublin 4,Ireland,,,18 Years,,Recruiting,,,,Cancer Trials Ireland,,February 2013,
34,35,NCT01879189,PROSPR/PCIPS Project 3: Communication of Personalized Breast Cancer Risk,Breast Cancer,Interventional,"Inclusion Criteria:

Women ages 39-48
Patient of one of the nine primary care or OB/GYN practices that are participating in the study
Must have had an appointment at one of these locations in the past 24 months
Must have an appointment during the study period
Woman has not yet initiated breast cancer screening (no prior mammogram)
No history of breast cancer

Exclusion Criteria:

Prior diagnosis of breast cancer
Major comorbidity that substantially affects their 10 year mortality
Non-English speaker",1302,Philadelphia,United States,Pennsylvania,19104,39 Years,48 Years,Completed,Not Applicable,,,University of Pennsylvania,Breast Cancer Screening Decision Aid,September 2013,
35,36,NCT04818125,Circulating Cancer Cells/Macrophage HYbrid Cells in Patients With Breast Cancer.,Breast Cancer,Interventional,"Inclusion Criteria:

Patient with breast cancer of any stage (stage I, II, III or IV) and any immunohistochemical subtype (triple-negative, HR+/HER2-negative or HER2-positive).
Patient not yet initiated on specific treatment for the stage of breast cancer at inclusion.
Available tumor sample (archived tumor block) : initial tumor or metastasis depending on the stage of the disease and availability.
Age ≥ 18 years old.
Patient affiliated to a Social Health Insurance in France.
Patient having signed informed consent prior to inclusion in the study and prior to any specific study procedure.

Exclusion Criteria:

Associated pathology(ies) that may prevent the proper conduct of the procedure under consideration.
Pregnant or breastfeeding woman.
Any psychological, family, geographical or sociological condition that prevents compliance with the medical follow-up and/or procedures of the study protocol.
Patient who has forfeited his/her freedom by administrative or legal award or who is under legal protection (curatorship and guardianship protection of justice).
Patient who has presented another solid tumor (except breast or cervix carcinoma in situ) within 5 years.",61,Toulouse,France,,,18 Years,,"Active, not recruiting",Not Applicable,,,Institut Claudius Regaud,"Patients with breast cancer (stage I, II III or IV)","March 31, 2021",
36,37,NCT00897962,Blood Glycan Biomarkers in Women With Stage IV Breast Cancer,Breast Cancer,Observational,"DISEASE CHARACTERISTICS:

Patient or participant at the Women's Health Clinic, the Internal Medicine Clinic, or at the UC Davis Cancer Center, meeting 1 of the following criteria:

Diagnosis of stage IV metastatic breast cancer, receiving active treatment with chemotherapy, endocrine therapy, or targeted therapy

Patients/participants without cancer

Healthy control being seen for annual exams, meeting the following criteria:

No chronic disease
Not on regular prescribed medications
Patient without cancer being seen in the Internal Medicine Clinic
Hormone receptor status not specified

PATIENT CHARACTERISTICS:

Menopausal status not specified
Not pregnant or breast feeding
No other active cancer

PRIOR CONCURRENT THERAPY:

See Disease Characteristics",163,Sacramento,United States,California,95817,18 Years,,Completed,,,,"University of California, Davis",Healthy Controls,September 2006,
37,38,NCT00656604,"Evaluation of Patients With Breast Cancer Using DCE-MRI, MRS, and Proteomics",Breast Cancer,Interventional,"DISEASE CHARACTERISTICS:

Meets 1 of the following criteria:

Women with breast tumors planning to undergo surgical resection
Healthy volunteers, including any constitutionally healthy female with no history of breast cancer
Hormone receptor status not specified

PATIENT CHARACTERISTICS:

Female
Menopausal status not specified
Not pregnant or nursing
Negative pregnancy test
Fertile patients must use effective contraception
Not acutely ill
No non-magnetic resonance-compatible ferromagnetic materials present in the body

PRIOR CONCURRENT THERAPY:

Prior chemotherapy and/or radiotherapy allowed",30,,,,,18 Years,,Completed,Not Applicable,"A Bapsi Chakravarthy, MD",Vanderbilt-Ingram Cancer Center,Vanderbilt-Ingram Cancer Center,proteomic profiling,November 2003,
38,39,NCT02810093,Big Data and Text-mining Technologies Applied for Breast Cancer Medical Data Analysis,Breast Cancer,Observational,"Inclusion Criteria:

Majority (age > 18)
Malignant breast tumors
signed informed consent

Exclusion Criteria:

Benign breast pathology
Patients not initially treated at the Hôpitaux Universitaires de Strasbourg",10000,Strasbourg,France,,67091,18 Years,,Unknown status,,,,"University Hospital, Strasbourg, France",retrospective medical records analyze,May 2016,Anne Laudamy
39,40,NCT03390608,Prognostic and Predictive Factors for Small Breast Tumors,Breast Cancer,Observational,"Inclusion Criteria:

Female.
Operated for centimeter or subcentimeter breast cancer.

Exclusion Criteria:

Previous breast cancer.
Metastatic breast cancer at diagnosis.",35002,Solna,Sweden,,17177,,100 Years,Completed,,Andreas Pettersson,Karolinska Institutet,Karolinska Institutet,Endocrine therapy,"January 1, 1977",
40,41,NCT01855503,Breast Cancer Molecular Analysis Protocol,Metastatic Breast Cancer,Observational,"Inclusion Criteria:

All patients with metastatic breast cancer who are considered for further systemic therapy are eligible regardless of number of prior therapies.
Patient must have a metastatic lesion that could be safely biopsied with or without image-guidance. The final arbiter to decide what lesion can be biopsied is the physician who will perform the biopsy.
There is no age limit for this study. However, this study will not include children because metastatic breast cancer does not occur in children.
Patients may participate in the biopsy study multiple times to repeat molecular assessment of the cancer after progression.
Patients who undergo routine clinical biopsy of metastatic breast cancer are also eligible to participate in this study. When the routine biopsies are obtained for diagnostic or other purposes, additional biopsies will be taken during the same biopsy session for molecular analysis.

Exclusion Criteria:

1. Known medical contraindication for needle biopsy procedure such as bleeding disorder, low platelet count, inability to provide informed consent",121,New Haven,United States,Connecticut,06520-8032,,,Completed,,,,Yale University,Core Biopsy,May 2013,
41,42,NCT01916837,Genomic Grade Index (GGI): Feasibility in Routine Practice and Impact on Treatment Decisions in Early Breast Cancer,Invasive Breast Cancer,Observational,"Inclusion Criteria:

Histologically confirmed invasive breast cancer meeting the following criteria:

T1, T2, or operable T3 disease
Zero to three positive lymph nodes and no distant metastases
Operable disease - Must have undergone breast-conserving surgery or mastectomy with either a sentinel node procedure or full axillary clearance

Exclusion Criteria:

No other invasive cancer within the past 5 years except for adequately treated carcinoma in situ of the cervix or non melanoma skin cancer
No psychological, familial, sociological, or geographical condition that would preclude entering into a clinical study",180,Brussels,Belgium,,1000,18 Years,,Completed,,,,Jules Bordet Institute,Sampling of tumor tissue,February 2010,
42,43,NCT04980989,Follow-up of Early Breast Cancer (BC) Patients by Telephone or Mobile Software,"Breast Cancer, Early-Onset",Interventional,"Inclusion Criteria:

Adult patients with early breast cancer after primary treatment including also radiotherapy (the patients were randomized at the final visit of radiotherapy)

Exclusion Criteria:

not able to use a computer
another malignancy",765,,,,,18 Years,,Completed,Not Applicable,Johanna Mattson,Helsinki University Central Hospital,Helsinki University Central Hospital,Mobile software for follow-up of early breast cancer,"June 15, 2015",
43,44,NCT00416975,Individualized Risk-Based Education in Promoting Breast Cancer Screening in Healthy Women,Breast Cancer,Interventional,"DISEASE CHARACTERISTICS:

Receiving care at the Women's Health Center gynecology clinic in downtown Richmond, VA or at either the satellite Stony Point or Hayes Willis clinics
No history of breast cancer, including in situ lesions
At least 7 years old at first menarche
No prior genetic counseling or genetic testing for breast cancer
Hormone receptor status not specified

PATIENT CHARACTERISTICS:

Female
Menopausal status not specified
Not pregnant

PRIOR CONCURRENT THERAPY:

Not specified",899,,,,,40 Years,,Completed,Not Applicable,,,Virginia Commonwealth University,counseling intervention,May 2000,
44,45,NCT02934126,The Development of a Personalized Decision Aid: Perspectives of Patients and Health Care Professionals on Shared Decision Making and Informational Needs on Radiotherapy for Breast Cancer,Breast Cancer,Observational,"Inclusion Criteria:

2-3 months after facing decision or > 1 year after decision
able to speak and understand Dutch
Written informed consent

Exclusion Criteria:

recurrence of breast cancer prior to interview",15,Amsterdam,Netherlands,,1066CX,18 Years,,Completed,,,,The Netherlands Cancer Institute,breast cancer patients,September 2016,
45,46,NCT02954900,Know Your Risk: Assessment at Screening for Breast Cancer - Pilot Study,Breast Neoplasms,Interventional,"Inclusion Criteria:

5-year breast risk of 1.67% or lifetime risk of 20% according to the Gail model
The participant understands and is willing to provide informed consent in English or Spanish
Has a primary care provider at Columbia University Medical Center (CUMC) / New York-Presbyterian Hospital

Exclusion Criteria:

Prior use of a selective estrogen receptor modulator (SERM) or aromatase inhibitor (AI) for chemoprevention
Prior history of breast cancer",40,New York,United States,New York,10032,35 Years,75 Years,Completed,Not Applicable,Katherine D. Crew,Columbia University,Columbia University,RealRisks,"March 15, 2016",
46,47,NCT01446185,"Treatment Decision Impact of OncotypeDX™ in HR+, N- Breast Cancer Patients",Breast Cancer,Interventional,"Inclusion Criteria:

Patients > 18 years old.
Pre- or post- menopausal women with breast adenocarcinoma, confirmed by a pathologist and who underwent surgery, with a maximum of 4 weeks between surgery and the 2nd therapeutic decision with Oncotype DX.
HR positive (at least ER+) breast cancer patients (defined by a threshold of 10% of the cells IHC + without N- or pN1(mi), Her2 - (IHC0, 1, 2+ or FISH -)
Patients must be eligible to receive adjuvant chemotherapy as defined by a good Karnofsky index, no hematological, cardiological or hepatic contraindications nor any impeding comorbidity.
Patients must have given a written informed consent.

Exclusion Criteria:

T3 or T4, HR-, N+ (except pN1 (mi) (sn), Her2+ (IHC 3+ or Fish+) patients.
Metastatic patients.
Patients who cannot give an informed consent.
Patients who cannot receive chemotherapy.
Patient who participated in another clinical trial and is still in the exclusion period of any other trial.
Mentally disabled patient who has no legal responsibility for herself.",100,Besançon,France,,25030,18 Years,,Completed,Not Applicable,,,"Genomic Health®, Inc.",Oncotype DX breast cancer test,January 2011,
